	title	link	salary_min	salary_max	salary_currency	source
0	Бортпроводник	https://hh.ru/vacancy/48216243		110000.0	руб.	hh.ru
1	Консультант чат-поддержки Медиасервисов (КиноПоиск; Афиша; Музыка; Плюс)	https://hh.ru/vacancy/51058915		20000.0	руб.	hh.ru
2	Менеджер по работе с аккаунтами Wildberries	https://hh.ru/vacancy/51714916	50000.0	80000.0	руб.	hh.ru
3	Менеджер по сопровождению клиентов УДАЛЕННО	https://hh.ru/vacancy/49407236	70000.0	135000.0	руб.	hh.ru
4	Главный бухгалтер	https://hh.ru/vacancy/50333628		1500.0	бел.руб.	hh.ru
5	Водитель-экспедитор / Курьер	https://hh.ru/vacancy/51482898	82960.0	101726.0	руб.	hh.ru
6	Комплектовщик/комплектовщица на склад	https://hh.ru/vacancy/51635200	97000.0	150000.0	руб.	hh.ru
7	Управляющий на яхту (Purser)	https://hh.ru/vacancy/51860732	2500.0	3000.0	EUR	hh.ru
8	Специалист по продажам	https://hh.ru/vacancy/51613599		2500.0	бел.руб.	hh.ru
9	Менеджер по работе на Wildberries	https://hh.ru/vacancy/51928375	120000.0	250000.0	руб.	hh.ru
10	Бухгалтер по выписке накладных	https://hh.ru/vacancy/51646096		1450.0	бел.руб.	hh.ru
11	Заботливый куратор в Арт-школу и студию	https://hh.ru/vacancy/51859137		35000.0	руб.	hh.ru
12	Product Manager в международный проект	https://hh.ru/vacancy/51651398	220000.0	250000.0	руб.	hh.ru
13	Работник склада	https://hh.ru/vacancy/51907047	180000.0	250000.0	KZT	hh.ru
14	Администратор на телефон	https://hh.ru/vacancy/51528413	60000.0	100000.0	руб.	hh.ru
15	Комплектовщик-Упаковщик; Москва	https://hh.ru/vacancy/50646214	80000.0	105000.0	руб.	hh.ru
16	Junior UX/UI designer	https://hh.ru/vacancy/51615129				hh.ru
17	Оператор call-центра (на дому)	https://hh.ru/vacancy/51623154		40000.0	руб.	hh.ru
18	Administrative Operations Manager / Операционный менеджер	https://hh.ru/vacancy/51207048		1500.0	USD	hh.ru
19	Специалист по выписке счетов-фактур	https://hh.ru/vacancy/51843491	1000.0	2500.0	бел.руб.	hh.ru
20	Сторис менеджер/мобилограф/смм менеджер	https://hh.ru/vacancy/51794688	130000.0	200000.0	KZT	hh.ru
