	title	link	salary_min	salary_max	salary_currency	source
60	Кассир-операционист	https://hh.ru/vacancy/51785132		3500000.0	сум	hh.ru
61	Менеджер по работе с маркетплейсами	https://hh.ru/vacancy/50988081		100000.0	руб.	hh.ru
62	Помощник менеджера по продажам (входящие обращения)	https://hh.ru/vacancy/51027227	75000.0	120000.0	руб.	hh.ru
63	Администратор йога-студия	https://hh.ru/vacancy/50659972		45000.0	руб.	hh.ru
64	Customer Support Manager (чаты)	https://hh.ru/vacancy/51785428	17000.0	25000.0	грн.	hh.ru
65	2D/3D Artist	https://hh.ru/vacancy/51913335		4000.0	USD	hh.ru
66	Офисный рабочий	https://hh.ru/vacancy/50402826	40000.0	100000.0	руб.	hh.ru
67	Финансовый директор	https://hh.ru/vacancy/51774756	150000.0	200000.0	руб.	hh.ru
68	Куратор в образовательный центр	https://hh.ru/vacancy/50980204		160000.0	KZT	hh.ru
69	Менеджер	https://hh.ru/vacancy/51484739	80000.0	120000.0	руб.	hh.ru
70	Начинающий специалист	https://hh.ru/vacancy/50815064		48000.0	руб.	hh.ru
71	Директор магазина	https://hh.ru/vacancy/51909841		110000.0	руб.	hh.ru
72	Ассистент менеджера/Администратор	https://hh.ru/vacancy/51764219	4300000.0	4300000.0	сум	hh.ru
73	Продавец-консультант в бутик нишевой парфюмерии	https://hh.ru/vacancy/51627098	150000.0	350000.0	KZT	hh.ru
74	Няня для девочки 7 месяцев	https://hh.ru/vacancy/51918303	70000.0	140000.0	руб.	hh.ru
75	Директор по развитию	https://hh.ru/vacancy/51640352		300000.0	KZT	hh.ru
76	Менеджер отдела контроля качества ОКК (удалённо)	https://hh.ru/vacancy/51924154	52000.0	70000.0	руб.	hh.ru
77	Продавец-консультант в музыкальный магазин	https://hh.ru/vacancy/51850243	150000.0	170000.0	KZT	hh.ru
78	Менеджер по тендерам	https://hh.ru/vacancy/51692443	250000.0	1000000.0	KZT	hh.ru
79	Специалист по документообороту и КДП с функцией офис-менеджера	https://hh.ru/vacancy/51846767				hh.ru
80	Помощник администратора	https://hh.ru/vacancy/51809921	30000.0	40000.0	руб.	hh.ru
81	Заместитель начальника службы охраны	https://hh.ru/vacancy/51880485		1300.0	бел.руб.	hh.ru
82	Заведующий складом	https://hh.ru/vacancy/51899845		5000000.0	сум	hh.ru
83	Консультант	https://hh.ru/vacancy/50789416	160000.0	300000.0	KZT	hh.ru
84	Брокер по элитной недвижимости	https://hh.ru/vacancy/46362604	250000.0	1000000.0	руб.	hh.ru
85	Специалист по расчетам и вводу данных	https://hh.ru/vacancy/51273776	30000.0	30000.0	руб.	hh.ru
86	Секретарь на ресепшен	https://hh.ru/vacancy/48974133	76000.0	76000.0	руб.	hh.ru
